	time	mq4_volt
0	0.043296098709106445	2.0654296875
1	0.2598879337310791	2.060546875
2	0.3867759704589844	2.0556640625
3	0.5384120941162109	2.0556640625
4	0.6591250896453857	2.060546875
5	0.791146993637085	2.0654296875
6	0.914309024810791	2.0703125
7	1.0407819747924805	2.0654296875
8	1.185379981994629	2.0703125
9	1.3294529914855957	2.0703125
10	1.4695899486541748	2.0458984375
11	1.6033880710601807	2.0703125
12	1.7388391494750977	2.060546875
13	1.8720600605010986	2.0556640625
14	2.0059990882873535	2.0751953125
15	2.144695997238159	2.0654296875
16	2.3304121494293213	2.0751953125
17	2.4672911167144775	2.08984375
18	2.615499973297119	2.080078125
19	2.757256031036377	2.119140625
20	2.8758490085601807	2.607421875
21	2.995059013366699	2.958984375
22	3.1229820251464844	3.06640625
23	3.261214017868042	3.115234375
24	3.382585048675537	3.10546875
25	3.5059521198272705	3.076171875
26	3.649256944656372	3.0615234375
27	3.807845115661621	2.98828125
28	3.957808017730713	2.9345703125
29	4.173066139221191	2.8271484375
30	4.309795141220093	2.7294921875
31	4.4400551319122314	2.646484375
32	4.573110103607178	2.548828125
33	4.8335559368133545	2.48046875
34	4.959106922149658	2.40234375
35	5.086620092391968	2.3486328125
36	5.220543146133423	2.3046875
37	5.360258102416992	2.2607421875
38	5.48764705657959	2.2216796875
39	5.6197590827941895	2.16796875
40	5.754724979400635	2.16796875
41	5.890661954879761	2.1435546875
42	6.081083059310913	2.1484375
43	6.236670970916748	2.12890625
44	6.382529973983765	2.1630859375
45	6.52202296257019	2.20703125
46	6.658015012741089	2.2998046875
47	6.8090410232543945	2.4365234375
48	6.990538120269775	2.5390625
49	7.137501001358032	2.5390625
50	7.2766029834747314	2.5341796875
51	7.412575006484985	2.4951171875
52	7.548272132873535	2.470703125
53	7.686200141906738	2.4267578125
54	7.826240062713623	2.3974609375
55	8.04934811592102	2.3583984375
56	8.206920146942139	2.333984375
57	8.386709928512573	2.2998046875
58	8.538203954696655	2.2705078125
59	8.676550149917603	2.2314453125
60	8.80278992652893	2.197265625
61	8.937183141708374	2.1875
62	9.070569038391113	2.1533203125
63	9.200537919998169	2.1435546875
64	9.344567060470581	2.138671875
