	time	mq4_volt
0	0.03502988815307617	2.1533203125
1	0.2532048225402832	2.1630859375
2	0.3768019676208496	2.1484375
3	0.5354688167572021	2.158203125
4	0.6703360080718994	2.1484375
5	0.8040540218353271	2.1533203125
6	0.9502139091491699	2.16796875
7	1.1072149276733398	2.1484375
8	1.2429778575897217	2.158203125
9	1.3872199058532715	2.1533203125
10	1.5400497913360596	2.1484375
11	1.680168867111206	2.1630859375
12	1.821943998336792	2.1484375
13	1.9627399444580078	2.1484375
14	2.1089439392089844	2.1484375
15	2.2554919719696045	2.1435546875
16	2.445189952850342	2.158203125
17	2.584016799926758	2.1484375
18	2.7364308834075928	2.1533203125
19	2.8788039684295654	2.1484375
20	3.001127004623413	2.1484375
