	mq4Volt
284	4.6630859375
285	4.55078125
286	4.443359375
287	4.3017578125
288	4.1748046875
289	4.0380859375
290	3.9306640625
291	3.8134765625
292	3.7158203125
293	3.6083984375
294	3.5205078125
295	3.4423828125
296	3.3642578125
297	3.271484375
298	3.22265625
299	3.14453125
300	3.0908203125
301	3.037109375
302	2.96875
303	2.94921875
304	2.91015625
305	2.861328125
306	2.83203125
307	2.783203125
308	2.7880859375
309	2.734375
310	2.7294921875
311	2.685546875
312	2.67578125
313	2.646484375
314	2.6318359375
315	2.6123046875
316	2.5927734375
317	2.578125
318	2.568359375
319	2.5634765625
320	2.5537109375
321	2.5341796875
322	2.529296875
323	2.51953125
324	2.5
325	2.4853515625
326	2.48046875
327	2.4853515625
328	2.4755859375
329	2.4755859375
330	2.470703125
331	2.4658203125
332	2.4560546875
333	2.744140625
334	4.9951171875
335	4.9951171875
336	4.9951171875
337	4.9951171875
338	4.9951171875
339	4.9951171875
340	4.9951171875
341	4.9951171875
342	4.9951171875
343	4.9951171875
344	4.9951171875
345	4.9951171875
346	4.9951171875
347	4.9951171875
348	4.9951171875
349	4.9951171875
350	4.9951171875
351	4.90234375
352	4.8095703125
353	4.7265625
354	4.62890625
355	4.5556640625
356	4.462890625
357	4.8095703125
358	4.9951171875
359	4.9951171875
360	4.9951171875
361	4.9951171875
362	4.9951171875
363	4.9951171875
364	4.9951171875
365	4.9951171875
366	4.9951171875
367	4.9951171875
368	4.9951171875
369	4.9951171875
370	4.9951171875
371	4.9951171875
372	4.9951171875
373	4.9951171875
374	4.9951171875
375	4.9951171875
376	4.9951171875
377	4.9951171875
378	4.9951171875
379	4.9951171875
380	4.9951171875
381	4.9951171875
382	4.9951171875
383	4.9951171875
384	4.970703125
385	4.921875
386	4.86328125
387	4.82421875
388	4.7705078125
389	4.70703125
390	4.66796875
391	4.6142578125
392	4.5654296875
393	4.5166015625
394	4.47265625
395	4.43359375
396	4.3896484375
397	4.35546875
398	4.3115234375
399	4.27734375
400	4.228515625
401	4.208984375
402	4.169921875
403	4.1455078125
404	4.1015625
405	4.08203125
406	4.0478515625
407	4.0185546875
408	3.984375
409	3.96484375
410	3.9306640625
411	3.916015625
412	3.88671875
413	3.857421875
414	3.837890625
415	3.80859375
416	3.7890625
417	3.7646484375
418	3.75
419	3.7353515625
420	3.7109375
421	3.69140625
422	3.6572265625
423	3.65234375
424	3.6376953125
425	3.61328125
426	3.5986328125
427	3.5791015625
428	3.5693359375
429	3.5400390625
430	3.5302734375
431	3.525390625
432	3.49609375
433	3.4814453125
434	3.505859375
435	3.4521484375
436	3.4423828125
437	3.427734375
438	3.408203125
439	3.3935546875
440	3.388671875
441	3.369140625
442	3.3544921875
443	3.33984375
444	3.3251953125
445	3.3154296875
446	3.310546875
447	3.30078125
448	3.291015625
449	3.2568359375
450	3.2666015625
451	3.2470703125
452	3.2421875
453	3.232421875
454	3.22265625
455	3.203125
456	3.1884765625
457	3.1884765625
458	3.1640625
459	3.1689453125
460	3.1640625
461	3.154296875
462	3.1396484375
463	3.1396484375
464	3.1201171875
465	3.115234375
466	3.095703125
467	3.095703125
468	3.0712890625
469	3.0810546875
470	3.06640625
471	3.0615234375
472	3.056640625
473	3.046875
474	3.0419921875
475	3.0224609375
476	3.0224609375
477	3.0126953125
478	3.017578125
479	3.0126953125
480	2.9931640625
481	2.98828125
482	2.96875
483	2.98828125
484	2.9638671875
485	2.9736328125
486	2.958984375
487	2.94921875
488	2.9345703125
489	2.939453125
490	2.9345703125
491	2.9443359375
492	2.9248046875
493	2.919921875
494	2.9052734375
495	2.919921875
496	2.890625
497	2.890625
498	2.890625
499	2.8857421875
500	2.880859375
501	2.8759765625
502	2.8759765625
503	2.861328125
504	2.861328125
505	2.8564453125
506	2.8369140625
507	2.841796875
508	2.8369140625
509	2.8369140625
510	2.8564453125
511	2.83203125
512	2.8466796875
513	2.822265625
514	2.8515625
515	2.8125
516	2.8125
517	2.802734375
518	2.79296875
519	2.7880859375
520	2.7978515625
521	2.7783203125
522	2.7734375
523	2.7783203125
524	2.783203125
525	2.763671875
526	2.7685546875
527	2.763671875
528	2.7587890625
529	2.763671875
530	2.7587890625
531	2.744140625
532	2.744140625
533	2.734375
534	2.75390625
535	2.734375
536	2.734375
537	2.7294921875
538	2.744140625
539	2.7392578125
540	2.724609375
541	2.724609375
542	2.7294921875
543	2.71484375
544	2.71484375
545	2.7099609375
546	2.71484375
547	2.7099609375
548	2.7099609375
549	2.7001953125
550	2.6953125
551	2.6953125
552	2.705078125
553	2.6904296875
554	2.6953125
555	2.6904296875
556	2.685546875
557	2.6904296875
558	2.685546875
559	2.67578125
560	2.67578125
561	2.6806640625
562	2.6904296875
563	2.6806640625
564	2.6611328125
565	2.6708984375
566	2.666015625
567	2.666015625
568	2.6611328125
569	2.65625
570	2.65625
571	2.65625
572	2.6513671875
573	2.65625
574	2.6513671875
575	2.6513671875
576	2.63671875
577	2.63671875
578	2.6611328125
579	2.6416015625
580	2.626953125
581	2.6220703125
582	2.63671875
583	2.6416015625
584	2.626953125
585	2.6220703125
586	2.626953125
587	2.626953125
588	2.6220703125
589	2.6220703125
590	2.6220703125
591	2.6220703125
592	2.6171875
593	2.6220703125
594	2.607421875
595	2.6171875
596	2.59765625
597	2.607421875
598	2.6123046875
599	2.607421875
600	2.607421875
601	2.6123046875
602	2.6123046875
603	2.6123046875
604	2.6171875
605	2.6025390625
606	2.6025390625
607	2.6025390625
608	2.59765625
609	2.6025390625
610	2.59765625
611	2.6025390625
612	2.5927734375
